x,f1(x),f2(x)
3.22107e-07,0.500791,0.5
3.19154e-07,0.499201,0.5
3.16228e-07,0.4996,0.5
3.13329e-07,0.499842,0.5
3.10456e-07,0.499919,0.5
3.0761e-07,0.499827,0.5
3.04789e-07,0.499559,0.5
3.01995e-07,0.499107,0.5
2.99226e-07,0.500947,0.5
2.96483e-07,0.500156,0.5
2.93765e-07,0.499163,0.5
2.91072e-07,0.50058,0.5
2.88403e-07,0.499208,0.5
2.85759e-07,0.500332,0.5
2.83139e-07,0.501324,0.5
2.80543e-07,0.49936,0.5
2.77971e-07,0.500022,0.5
2.75423e-07,0.500537,0.5
2.72898e-07,0.500898,0.5
2.70396e-07,0.5011,0.5
2.67917e-07,0.498042,0.5
2.65461e-07,0.497849,0.5
2.63027e-07,0.500685,0.5
2.60615e-07,0.500186,0.5
2.58226e-07,0.499495,0.5
2.55859e-07,0.498606,0.5
2.53513e-07,0.500966,0.5
2.51189e-07,0.499722,0.5
2.48886e-07,0.501843,0.5
2.46604e-07,0.50022,0.5
2.44343e-07,0.502081,0.5
2.42103e-07,0.500051,0.5
2.39883e-07,0.50163,0.5
2.37684e-07,0.499165,0.5
2.35505e-07,0.500438,0.5
2.33346e-07,0.497508,0.5
2.31206e-07,0.49845,0.5
2.29087e-07,0.499255,0.5
2.26986e-07,0.499917,0.5
2.24905e-07,0.500432,0.5
2.22844e-07,0.500793,0.5
2.208e-07,0.500994,0.5
2.18776e-07,0.50103,0.5
2.1677e-07,0.500894,0.5
2.14783e-07,0.50058,0.5
2.12814e-07,0.500081,0.5
2.10863e-07,0.49939,0.5
2.0893e-07,0.498501,0.5
2.07014e-07,0.502588,0.5
2.05116e-07,0.501376,0.5
2.03236e-07,0.499946,0.5
2.01372e-07,0.498289,0.5
1.99526e-07,0.501976,0.5
1.97697e-07,0.499946,0.5
1.95884e-07,0.497667,0.5
1.94089e-07,0.501025,0.5
1.92309e-07,0.498331,0.5
1.90546e-07,0.501481,0.5
1.88799e-07,0.498345,0.5
1.87068e-07,0.501265,0.5
1.85353e-07,0.497658,0.5
1.83654e-07,0.500327,0.5
1.8197e-07,0.496217,0.5
1.80302e-07,0.498612,0.5
1.78649e-07,0.500925,0.5
1.77011e-07,0.503151,0.5
1.75388e-07,0.498069,0.5
1.7378e-07,0.499976,0.5
1.72187e-07,0.501782,0.5
1.70608e-07,0.503482,0.5
1.69044e-07,0.497302,0.5
1.67494e-07,0.498633,0.5
1.65959e-07,0.499841,0.5
1.64437e-07,0.500922,0.5
1.6293e-07,0.50187,0.5
1.61436e-07,0.494161,0.5
1.59956e-07,0.503348,0.5
1.58489e-07,0.503866,0.5
1.57036e-07,0.50423,0.5
1.55597e-07,0.495261,0.5
1.5417e-07,0.504468,0.5
1.52757e-07,0.504332,0.5
1.51356e-07,0.494323,0.5
1.49968e-07,0.503513,0.5
1.48594e-07,0.492761,0.5
1.47231e-07,0.501922,0.5
1.45881e-07,0.50082,0.5
1.44544e-07,0.499503,0.5
1.43219e-07,0.497964,0.5
1.41906e-07,0.507222,0.5
1.40605e-07,0.50542,0.5
1.39316e-07,0.503376,0.5
1.38038e-07,0.501082,0.5
1.36773e-07,0.498528,0.5
1.35519e-07,0.495706,0.5
1.34276e-07,0.492607,0.5
1.33045e-07,0.501765,0.5
1.31826e-07,0.498316,0.5
1.30617e-07,0.50758,0.5
1.2942e-07,0.50376,0.5
1.28233e-07,0.499622,0.5
1.27057e-07,0.495157,0.5
1.25893e-07,0.504362,0.5
1.24738e-07,0.499469,0.5
1.23595e-07,0.508755,0.5
1.22462e-07,0.503407,0.5
1.21339e-07,0.497685,0.5
1.20226e-07,0.491575,0.5
1.19124e-07,0.500715,0.5
1.18032e-07,0.494085,0.5
1.1695e-07,0.503271,0.5
1.15878e-07,0.496091,0.5
1.14815e-07,0.505314,0.5
1.13763e-07,0.497552,0.5
1.1272e-07,0.489326,0.5
1.11686e-07,0.498423,0.5
1.10662e-07,0.50769,0.5
1.09648e-07,0.498659,0.5
1.08643e-07,0.489118,0.5
1.07647e-07,0.498211,0.5
1.0666e-07,0.487956,0.5
1.05682e-07,0.497027,0.5
1.04713e-07,0.506268,0.5
1.03753e-07,0.495053,0.5
1.02802e-07,0.504256,0.5
1.01859e-07,0.513631,0.5
1.00925e-07,0.501381,0.5
1e-07,0.510703,0.5
9.90832e-08,0.49758,0.5
9.81748e-08,0.506831,0.5
9.72747e-08,0.492787,0.5
9.63829e-08,0.501949,0.5
9.54993e-08,0.486934,0.5
9.46237e-08,0.495987,0.5
9.37562e-08,0.505208,0.5
9.28966e-08,0.48887,0.5
9.2045e-08,0.497959,0.5
9.12011e-08,0.507217,0.5
9.03649e-08,0.489455,0.5
8.95365e-08,0.498555,0.5
8.87156e-08,0.507823,0.5
8.79023e-08,0.488528,0.5
8.70964e-08,0.49761,0.5
8.62979e-08,0.506861,0.5
8.55067e-08,0.485915,0.5
8.47227e-08,0.494949,0.5
8.3946e-08,0.504151,0.5
8.31764e-08,0.481428,0.5
8.24138e-08,0.490379,0.5
8.16582e-08,0.499495,0.5
8.09096e-08,0.508782,0.5
