x1,x2,y1,y2
1.5445,0.724804,-1.27064,-1.84345
1.53231,0.751036,-1.28531,-1.9095
1.51706,0.778296,-1.30327,-1.97724
1.49852,0.806589,-1.32456,-2.04653
1.47637,0.835934,-1.3492,-2.11722
1.45023,0.86636,-1.37726,-2.18911
1.41961,0.897906,-1.4088,-2.26192
1.38387,0.930624,-1.44392,-2.33531
1.34217,0.964573,-1.48276,-2.40873
1.2934,0.999804,-1.52549,-2.48142
1.23603,1.03634,-1.57233,-2.55219
1.16794,1.07406,-1.62355,-2.61913
1.08625,1.11252,-1.6793,-2.67896
0.987484,1.15023,-1.73922,-2.72588
0.869827,1.18329,-1.80094,-2.75054
0.739848,1.20449,-1.85812,-2.74362
0.612453,1.20877,-1.90392,-2.70667
0.496667,1.19772,-1.93735,-2.65046
0.393637,1.17535,-1.96088,-2.58452
0.301576,1.14501,-1.97713,-2.51437
0.218387,1.10895,-1.98804,-2.44291
0.142337,1.06865,-1.99493,-2.37169
0.0720882,1.02511,-1.9987,-2.30161
0.00660861,0.979036,-1.99999,-2.2332
-0.0549102,0.930955,-1.99925,-2.16678
-0.113117,0.881271,-1.9968,-2.10259
-0.168545,0.830308,-1.99289,-2.04075
-0.221642,0.778338,-1.98768,-1.98137
-0.272792,0.725592,-1.98131,-1.92448
-0.322327,0.672278,-1.97386,-1.87013
-0.370544,0.618583,-1.96537,-1.81831
-0.417704,0.564681,-1.95589,-1.76902
-0.464041,0.510736,-1.94542,-1.72224
-0.509767,0.456909,-1.93394,-1.67794
-0.555067,0.403351,-1.92143,-1.63606
-0.600104,0.350212,-1.90785,-1.59656
-0.645018,0.297639,-1.89313,-1.55937
-0.689924,0.245774,-1.87723,-1.52443
-0.734911,0.194754,-1.86008,-1.49167
-0.780037,0.144709,-1.84161,-1.46103
-0.825336,0.0957618,-1.82176,-1.43243
-0.870809,0.0480245,-1.80047,-1.40582
-0.916426,0.00159518,-1.77768,-1.38115
-0.96213,-0.0434438,-1.75337,-1.35838
-1.00784,-0.0870289,-1.7275,-1.33749
-1.05343,-0.129117,-1.70008,-1.31845
-1.09879,-0.16969,-1.67113,-1.3013
-1.14376,-0.208752,-1.64068,-1.28604
-1.18816,-0.246335,-1.60881,-1.27272
-1.23185,-0.282497,-1.57561,-1.26139
-1.27462,-0.31732,-1.54122,-1.25212
-1.3163,-0.350912,-1.50577,-1.24497
-1.35673,-0.383402,-1.46945,-1.24003
-1.39572,-0.41494,-1.43247,-1.23736
-1.43313,-0.445689,-1.39505,-1.23703
-1.4688,-0.475824,-1.35744,-1.2391
-1.50261,-0.505524,-1.31991,-1.24362
-1.53446,-0.534972,-1.28275,-1.25062
-1.56425,-0.564343,-1.24625,-1.26012
-1.59192,-0.593804,-1.2107,-1.27212
-1.61742,-0.62351,-1.17641,-1.2866
-1.64074,-0.653598,-1.14367,-1.30354
-1.66186,-0.684186,-1.11276,-1.32291
-1.68079,-0.715372,-1.08395,-1.34464
-1.69757,-0.747234,-1.05748,-1.3687
-1.71223,-0.77983,-1.03358,-1.39502
-1.7248,-0.813199,-1.01246,-1.42354
-1.73533,-0.847366,-0.994295,-1.4542
-1.74387,-0.882338,-0.979246,-1.48695
-1.75044,-0.918115,-0.967446,-1.52173
-1.75508,-0.954686,-0.959007,-1.55848
-1.75779,-0.992033,-0.954027,-1.59715
-1.75857,-1.03013,-0.952585,-1.63769
-1.7574,-1.06897,-0.954749,-1.68005
-1.75422,-1.10851,-0.960579,-1.72416
-1.74896,-1.14873,-0.97013,-1.76996
-1.7415,-1.18962,-0.983459,-1.81738
-1.73169,-1.23114,-1.00062,-1.86633
-1.71934,-1.27329,-1.02169,-1.9167
-1.7042,-1.31605,-1.04676,-1.96835
-1.68594,-1.35939,-1.07592,-2.0211
-1.66415,-1.4033,-1.10932,-2.0747
-1.63831,-1.44773,-1.14715,-2.12882
-1.60772,-1.49261,-1.18964,-2.18299
-1.57147,-1.53783,-1.23712,-2.23656
-1.52836,-1.58315,-1.29,-2.2885
-1.47674,-1.62809,-1.34879,-2.33727
-1.41444,-1.67164,-1.41399,-2.38035
-1.33886,-1.71169,-1.48575,-2.41365
-1.24833,-1.74397,-1.56259,-2.43111
-1.14575,-1.76198,-1.63928,-2.42685
-1.04023,-1.76121,-1.70819,-2.40114
-0.939688,-1.74318,-1.7655,-2.36082
-0.846831,-1.71223,-1.81187,-2.31295
-0.761355,-1.67224,-1.84942,-2.26206
-0.682092,-1.62588,-1.88009,-2.21065
-0.607857,-1.57489,-1.90539,-2.16003
-0.537648,-1.52046,-1.92638,-2.11096
-0.470648,-1.46342,-1.94383,-2.06387
-0.406195,-1.40435,-1.95832,-2.01902
-0.343743,-1.34372,-1.97024,-1.97656
-0.282835,-1.2819,-1.9799,-1.93658
-0.223078,-1.21917,-1.98752,-1.89914
-0.164136,-1.15578,-1.99325,-1.86426
-0.105713,-1.09196,-1.9972,-1.83192
-0.0475517,-1.02789,-1.99943,-1.80213
0.0105739,-0.963755,-1.99997,-1.77484
0.0688577,-0.899703,-1.99881,-1.75004
0.127463,-0.835883,-1.99593,-1.72767
0.18652,-0.772428,-1.99128,-1.7077
0.246127,-0.70946,-1.9848,-1.69009
0.306342,-0.647089,-1.9764,-1.67479
0.367186,-0.58541,-1.966,-1.66177
0.428636,-0.524505,-1.95353,-1.651
0.490623,-0.464433,-1.93889,-1.64247
0.553035,-0.405237,-1.92202,-1.63616
0.61571,-0.346931,-1.90287,-1.63209
0.678442,-0.289507,-1.88141,-1.63027
0.740983,-0.232924,-1.85767,-1.63073
0.803048,-0.177115,-1.8317,-1.63351
0.864322,-0.121981,-1.80359,-1.63865
0.924468,-0.0673945,-1.77352,-1.6462
0.983137,-0.0132032,-1.74168,-1.6562
1.03998,0.0407665,-1.70834,-1.66869
1.09465,0.0947033,-1.67384,-1.68367
1.14684,0.148804,-1.63852,-1.70115
1.19625,0.203268,-1.60281,-1.72111
1.24261,0.258286,-1.56714,-1.74351
1.28572,0.314038,-1.53197,-1.76828
1.32539,0.370685,-1.49778,-1.79534
1.36149,0.428365,-1.46504,-1.82458
1.39394,0.487191,-1.4342,-1.85589
1.42265,0.547252,-1.40572,-1.88912
1.44761,0.608607,-1.38001,-1.92415
1.46877,0.671296,-1.35746,-1.96081
1.48613,0.735334,-1.33843,-1.99896
1.49966,0.800722,-1.32326,-2.03843
1.50932,0.867443,-1.31223,-2.07904
1.51501,0.935469,-1.30565,-2.12059
1.51662,1.00476,-1.30379,-2.16286
