t,phi1,phi2,phi1dot,phi2dot,deltaE
15.6,-0.26414,21.0502,1.0032,0.709952,-0.00105346
15.65,-0.233847,21.1314,1.0998,0.611174,-0.00105346
15.7,-0.202223,21.2118,1.18974,0.517166,-0.00105344
15.75,-0.169463,21.2911,1.27213,0.42881,-0.00105343
15.8,-0.135762,21.3694,1.34625,0.346821,-0.00105341
15.85,-0.101312,21.4464,1.41155,0.271744,-0.0010534
15.9,-0.0662942,21.5221,1.46764,0.20395,-0.00105339
15.95,-0.0308766,21.5965,1.51431,0.143656,-0.00105338
16,0.00478719,21.6694,1.55146,0.0909359,-0.00105338
16.05,0.0405616,21.741,1.57916,0.04575,-0.00105338
16.1,0.0763298,21.8112,1.59751,0.00796815,-0.00105339
16.15,0.111993,21.8801,1.60674,-0.0226026,-0.00105339
16.2,0.147472,21.9478,1.60707,-0.0461937,-0.0010534
16.25,0.182702,22.0144,1.59877,-0.063053,-0.0010534
16.3,0.217632,22.0801,1.58213,-0.0734282,-0.00105341
16.35,0.252224,22.145,1.55739,-0.0775525,-0.00105341
16.4,0.286447,22.2094,1.52481,-0.0756361,-0.00105342
16.45,0.320278,22.2733,1.4846,-0.0678609,-0.00105342
16.5,0.353693,22.337,1.43696,-0.0543784,-0.00105342
16.55,0.386672,22.4007,1.38206,-0.0353117,-0.00105343
16.6,0.419188,22.4645,1.32005,-0.0107598,-0.00105343
16.65,0.451209,22.5286,1.25105,0.0191942,-0.00105343
16.7,0.482695,22.5931,1.17521,0.0544726,-0.00105343
16.75,0.513593,22.658,1.09265,0.0949901,-0.00105343
16.8,0.54384,22.7235,1.00352,0.140638,-0.00105344
16.85,0.573356,22.7895,0.908017,0.191266,-0.00105344
16.9,0.602052,22.8562,0.806385,0.246669,-0.00105345
16.95,0.629823,22.9233,0.698933,0.30657,-0.00105346
17,0.656555,22.9909,0.586047,0.370606,-0.00105346
17.05,0.682127,23.0589,0.468197,0.438328,-0.00105347
17.1,0.706415,23.1272,0.34594,0.509197,-0.00105347
17.15,0.729293,23.1956,0.219905,0.582587,-0.00105347
17.2,0.750642,23.2641,0.0907933,0.657806,-0.00105347
