t,phi1,phi2,phi1dot,phi2dot,deltaE
14.4,-1.1016,13.7863,0.489317,-0.744263,-0.000711493
14.45,-1.10717,13.7403,0.630927,-0.798428,-0.000711486
14.5,-1.11114,13.694,0.77089,-0.849734,-0.000711479
14.55,-1.11347,13.6475,0.908868,-0.897851,-0.000711471
14.6,-1.11415,13.6007,1.04452,-0.942447,-0.000711463
14.65,-1.11315,13.5536,1.17752,-0.983191,-0.000711454
14.7,-1.11044,13.5061,1.30749,-1.01974,-0.000711445
14.75,-1.10601,13.4581,1.4341,-1.05175,-0.000711435
14.8,-1.09984,13.4096,1.55695,-1.07884,-0.000711425
14.85,-1.09189,13.3605,1.67563,-1.10063,-0.000711414
14.9,-1.08214,13.3105,1.78971,-1.11669,-0.000711401
14.95,-1.07055,13.2595,1.89871,-1.12655,-0.000711387
15,-1.05706,13.2074,2.00207,-1.12971,-0.000711372
15.05,-1.04162,13.1538,2.09921,-1.12559,-0.000711353
15.1,-1.02416,13.0985,2.18943,-1.11353,-0.000711332
15.15,-1.00455,13.0413,2.27196,-1.09281,-0.000711305
15.2,-0.982688,12.9816,2.34591,-1.06258,-0.00071127
15.25,-0.958387,12.919,2.41027,-1.02188,-0.000711221
15.3,-0.931429,12.8528,2.46389,-0.969642,-0.000711144
15.35,-0.901519,12.7825,2.50549,-0.904653,-0.000711004
15.4,-0.868264,12.7068,2.53369,-0.825633,-0.000710709
15.45,-0.831128,12.6246,2.54713,-0.731376,-0.00070999
15.5,-0.78938,12.534,2.54497,-0.621193,-0.000707983
15.55,-0.742031,12.4326,2.52801,-0.496136,-0.000701835
15.6,-0.687856,12.3174,2.50198,-0.362269,-0.000683538
15.65,-0.62586,12.1859,2.48488,-0.23811,-0.000649758
15.7,-0.557067,12.0401,2.51393,-0.161639,-0.00066302
15.75,-0.486675,11.8922,2.62091,-0.165657,-0.000711057
15.8,-0.420846,11.7565,2.78753,-0.232788,-0.000764521
15.85,-0.36179,11.6379,2.97302,-0.322945,-0.00079397
15.9,-0.30886,11.535,3.153,-0.412099,-0.000804085
15.95,-0.260792,11.4448,3.31825,-0.491224,-0.000807367
16,-0.216477,11.3651,3.46626,-0.557958,-0.000808509
16.05,-0.175057,11.294,3.59706,-0.612366,-0.000808947
16.1,-0.135885,11.2302,3.71141,-0.655289,-0.000809132
16.15,-0.0984626,11.1729,3.81032,-0.68774,-0.000809217
16.2,-0.0623962,11.1213,3.89473,-0.710683,-0.000809259
16.25,-0.0273697,11.0751,3.96546,-0.724963,-0.000809282
16.3,0.0068774,11.034,4.02322,-0.731283,-0.000809294
16.35,0.0405634,10.9976,4.06858,-0.730216,-0.000809302
16.4,0.0738732,10.9661,4.10198,-0.72221,-0.000809307
16.45,0.106965,10.9391,4.12378,-0.707607,-0.00080931
16.5,0.139972,10.9168,4.13425,-0.686658,-0.000809313
16.55,0.173008,10.8991,4.13355,-0.659532,-0.000809315
16.6,0.206166,10.8861,4.12182,-0.626337,-0.000809318
16.65,0.239516,10.8778,4.09915,-0.587134,-0.000809321
16.7,0.273112,10.8742,4.06558,-0.541948,-0.000809325
16.75,0.306983,10.8754,4.02116,-0.490787,-0.00080933
16.8,0.341135,10.8815,3.96593,-0.433657,-0.000809336
16.85,0.375555,10.8924,3.89995,-0.370579,-0.000809344
16.9,0.4102,10.9081,3.82332,-0.301604,-0.000809353
16.95,0.445009,10.9285,3.73619,-0.226827,-0.000809364
17,0.479891,10.9537,3.63878,-0.146409,-0.000809376
17.05,0.514737,10.9834,3.53138,-0.0605843,-0.00080939
17.1,0.549413,11.0175,3.41437,0.0303204,-0.000809404
17.15,0.583766,11.0559,3.28826,0.125878,-0.000809418
17.2,0.617628,11.0983,3.15363,0.225549,-0.00080943
17.25,0.650817,11.1445,3.01122,0.328682,-0.00080944
17.3,0.68314,11.1942,2.86184,0.434508,-0.000809445
17.35,0.714401,11.2471,2.70643,0.542148,-0.000809445
17.4,0.744401,11.3031,2.54605,0.650621,-0.000809437
17.45,0.772943,11.3617,2.38179,0.758861,-0.000809421
17.5,0.799837,11.4228,2.21485,0.865733,-0.000809395
17.55,0.8249,11.4861,2.04645,0.970055,-0.00080936
17.6,0.847961,11.5514,1.87784,1.07062,-0.000809315
17.65,0.86886,11.6184,1.71027,1.16622,-0.000809261
17.7,0.887448,11.6872,1.54497,1.25565,-0.000809198
17.75,0.903587,11.7575,1.38314,1.33774,-0.000809127
17.8,0.917149,11.8294,1.22596,1.41135,-0.000809048
17.85,0.92801,11.9027,1.07455,1.47538,-0.000808962
17.9,0.936048,11.9777,0.930017,1.52877,-0.000808868
17.95,0.941137,12.0545,0.793434,1.57047,-0.000808765
18,0.943139,12.1332,0.665874,1.59945,-0.00080865
18.05,0.941895,12.2142,0.548424,1.61465,-0.000808519
18.1,0.937211,12.298,0.442206,1.61502,-0.000808361
18.15,0.928843,12.3852,0.34839,1.59945,-0.000808158
18.2,0.916471,12.4766,0.26818,1.56682,-0.000807859
18.25,0.899666,12.5734,0.202737,1.51607,-0.000807329
18.3,0.877848,12.677,0.152904,1.44652,-0.000806151
18.35,0.850237,12.7895,0.118439,1.3586,-0.000803001
18.4,0.815863,12.9136,0.0959476,1.25603,-0.000794186
18.45,0.773867,13.0517,0.0740447,1.15066,-0.000776654
18.5,0.724726,13.2034,0.0270154,1.06894,-0.000777548
18.55,0.672275,13.3606,-0.0750796,1.04181,-0.000800264
18.6,0.622457,13.5103,-0.230511,1.06865,-0.000825671
18.65,0.5786,13.6453,-0.409335,1.1204,-0.000848164
18.7,0.540872,13.7657,-0.588207,1.17429,-0.000857503
18.75,0.508321,13.8742,-0.757205,1.22071,-0.000860707
18.8,0.479943,13.9731,-0.913516,1.25708,-0.00086183
18.85,0.45492,14.0643,-1.05711,1.28348,-0.000862257
18.9,0.432624,14.1493,-1.18891,1.30094,-0.000862434
18.95,0.412572,14.2291,-1.31009,1.31071,-0.000862513
19,0.394384,14.3046,-1.42182,1.31401,-0.00086255
19.05,0.377758,14.3763,-1.52519,1.31195,-0.000862569
