K,V,E,T,Eerr
62.9122,-4.10939,58.8028,78.2986,-4.25888e-05
63.1197,-4.31679,58.8029,78.5568,-4.1693e-05
63.3458,-4.54424,58.8016,78.8383,-6.34339e-05
63.5668,-4.76674,58.8,79.1132,-9.03763e-05
63.7545,-4.95539,58.7991,79.3469,-0.000105423
63.8905,-5.09128,58.7992,79.5162,-0.000103695
63.9702,-5.1701,58.8001,79.6153,-8.97311e-05
63.9999,-5.19873,58.8012,79.6523,-7.05412e-05
63.9919,-5.18963,58.8023,79.6424,-5.13104e-05
63.9595,-5.15621,58.8033,79.602,-3.50991e-05
63.9143,-5.11026,58.804,79.5457,-2.28301e-05
63.8653,-5.06079,58.8045,79.4847,-1.4667e-05
63.8185,-5.01375,58.8047,79.4265,-1.04265e-05
63.777,-4.97218,58.8048,79.3748,-9.41583e-06
63.7413,-4.9366,58.8047,79.3304,-1.10818e-05
63.71,-4.90556,58.8045,79.2915,-1.45612e-05
63.6804,-4.87621,58.8042,79.2547,-1.92215e-05
63.6488,-4.84487,58.8039,79.2153,-2.44793e-05
63.6111,-4.80755,58.8036,79.1685,-2.96421e-05
63.5638,-4.76047,58.8033,79.1096,-3.40584e-05
63.5038,-4.70066,58.8032,79.0349,-3.70249e-05
63.4296,-4.6265,58.8031,78.9425,-3.78053e-05
63.3415,-4.53831,58.8032,78.8329,-3.61606e-05
63.242,-4.43859,58.8034,78.7091,-3.23224e-05
63.1355,-4.33174,58.8037,78.5765,-2.73843e-05
63.027,-4.22301,58.804,78.4414,-2.33786e-05
62.9209,-4.11686,58.804,78.3094,-2.1938e-05
62.8197,-4.01571,58.804,78.1834,-2.31797e-05
62.7239,-3.91999,58.8039,78.0642,-2.42491e-05
62.6341,-3.83004,58.804,77.9524,-2.20087e-05
62.5533,-3.7488,58.8045,77.8519,-1.45278e-05
62.4883,-3.68319,58.8051,77.771,-3.73421e-06
62.4481,-3.64245,58.8056,77.721,5.04091e-06
62.4393,-3.63358,58.8057,77.71,5.92228e-06
62.4619,-3.65669,58.8052,77.7381,-3.02103e-06
62.5077,-3.70348,58.8043,77.7952,-1.82016e-05
62.5633,-3.75999,58.8034,77.8644,-3.36729e-05
62.6143,-3.81158,58.8027,77.9278,-4.48531e-05
62.6495,-3.84709,58.8024,77.9716,-4.9822e-05
62.663,-3.86059,58.8024,77.9885,-4.91167e-05
62.6537,-3.85101,58.8027,77.9769,-4.48014e-05
62.6236,-3.82053,58.8031,77.9394,-3.88203e-05
62.5765,-3.77303,58.8034,77.8807,-3.26557e-05
62.5166,-3.71286,58.8037,77.8062,-2.7053e-05
62.4481,-3.64407,58.804,77.721,-2.22957e-05
62.3743,-3.5701,58.8042,77.6292,-1.85156e-05
62.2981,-3.4937,58.8044,77.5343,-1.56972e-05
62.2215,-3.41692,58.8045,77.4389,-1.34942e-05
62.1459,-3.34127,58.8046,77.3449,-1.19583e-05
62.0725,-3.26779,58.8047,77.2535,-1.10211e-05
62.0019,-3.19716,58.8047,77.1656,-1.02953e-05
61.9346,-3.12981,58.8048,77.0819,-9.82523e-06
61.8707,-3.06596,58.8048,77.0024,-9.40397e-06
61.8105,-3.00573,58.8048,76.9275,-9.38664e-06
61.7539,-2.9491,58.8048,76.857,-9.39331e-06
61.7008,-2.89601,58.8048,76.7909,-9.46264e-06
61.6511,-2.84635,58.8048,76.7291,-9.57396e-06
61.6047,-2.79998,58.8048,76.6714,-9.64408e-06
61.5615,-2.75675,58.8048,76.6176,-9.79769e-06
61.5213,-2.71651,58.8048,76.5675,-9.8916e-06
61.4838,-2.67909,58.8048,76.5209,-9.91986e-06
61.4491,-2.64435,58.8047,76.4776,-1.00835e-05
61.4169,-2.61213,58.8047,76.4375,-1.02435e-05
61.387,-2.58228,58.8047,76.4004,-1.03309e-05
61.3594,-2.55467,58.8047,76.366,-1.048e-05
61.3339,-2.52916,58.8047,76.3342,-1.05541e-05
61.3103,-2.50562,58.8047,76.305,-1.05524e-05
61.2887,-2.48395,58.8047,76.278,-1.06115e-05
61.2687,-2.46404,58.8047,76.2532,-1.07297e-05
61.2505,-2.44579,58.8047,76.2305,-1.08392e-05
61.2338,-2.4291,58.8047,76.2097,-1.09396e-05
61.2186,-2.41389,58.8047,76.1908,-1.08953e-05
61.2048,-2.4001,58.8047,76.1736,-1.10449e-05
